ParkID,State,City,Park Name,First,Last
BRA01,New Jersey,Bradley Beach,Bradley Beach Field,1926,1926
CAM01,New Jersey,Camden,3rd St. & Erie Ave,1921,1921
CAM02,New Jersey,Camden,Twelfth and Federal St,1903,1942
FAI01,New Jersey,Fairview,Fairview Park,1931,1931
HAR01,New Jersey,Harrison,Harrison Field,1915,1915
JER02,New Jersey,Jersey City,Roosevelt Stadium,1941,1957
MTH01,New Jersey,Mt. Holly,(unknown),1928,1928
NWK04,New Jersey,Newark,Ruppert Stadium,1937,1949
NWK01,New Jersey,Newark,Wiedenmeyer's Park,1904,1904
PAR01,New Jersey,Parlin,(unknown),1937,1937
PAT01,New Jersey,Patterson,Hinchliffe Stadium,1937,1943
RED01,New Jersey,Red Bank,Pirates Park,1938,1941
TRE01,New Jersey,Trenton,Dunn Field,1937,1949
TRE02,New Jersey,Trenton,YMCA Field,1903,1903
WNY02,New Jersey,West New York,Miller Stadium,1937,1937
WNY01,New Jersey,West New York,Field Club Grounds,1937,1937
,,,,,
ALB02,New York,Albany,Hawkins Stadium,1940,1948
BEL03,New York,Belmont,(unknown),1941,1941
NYC23,New York,Brooklyn,Dexter Park,1934,1947
NYC15,New York,Brooklyn,Ebbets Field,1913,1957
NYC28,New York,Brooklyn,Erasmus Field,1937,1940
NYC12,New York,Brooklyn,Washington Park III,1901,1912
NYC19,New York,Brooklyn,Washington Park IV,1914,1915
BUF04,New York,Buffalo,Intl Fair Assoc Grounds,1914,1915
BUF06,New York,Buffalo,Offermann Stadium,1937,1949
BUF05,New York,Buffalo,Sahlen Field,2020,2021
FRE01,New York,Freeport,Freeport Stadium,1937,1937
JAM01,New York,Jamestown,Celoron Baseball Park,1927,1927
LIC01,New York,Long Island,Recreation Park,1937,1937
MID04,New York,Middletown,State Hospital Field,1939,1939
NYC24,New York,New York,Catholic Protectory Oval,1925,1929
NYC20,New York,New York,Citi Field,2009,2024
NYC25,New York,New York,Dyckman Oval,1935,1937
NYC13,New York,New York,Hilltop Park,1903,1912
NYC10,New York,New York,Polo Grounds IV,1901,1910
NYC14,New York,New York,Polo Grounds V,1911,1963
NYC29,New York,New York,Randalls Island,1938,1938
NYC17,New York,New York,Shea Stadium,1964,2008
NYC16,New York,New York,Yankee Stadium I,1923,2008
NYC21,New York,New York,Yankee Stadium II,2009,2024
NYC22,New York,New York City,Olympic Field,1913,1913
NBG01,New York,Newburgh,(unknown),1936,1936
NIA01,New York,Niagara Falls,Hyde Park Stadium,1942,1949
OLE01,New York,Olean,Bradner Stadium,1938,1942
PGK01,New York,Poughkeepsie,Riverview Field,1937,1937
NYC18,New York,Queens,Wallace's Ridgewood Park,1903,1903
ROC04,New York,Rochester,Red Wing Stadium,1938,1948
PTR01,New York,Staten Island,Port Richmond,1941,1941
SYR04,New York,Syracuse,MacArthur Stadium,1938,1949
,,,,,
CHA03,North Carolin,Charlotte,Griffith Park,1939,1949
DUR01,North Carolin,Durham,Durham Athletic Field,1940,1940
FTB01,North Carolin,Fort Bragg,Fort Bragg Field,2016,2016
GOL01,North Carolin,Goldsboro,(unknown),1940,1940
GRE03,North Carolin,Greensboro,Memorial Stadium,1944,1946
RAL01,North Carolin,Raleigh,Chavis Park,1940,1942
RKM01,North Carolin,Rocky Mount,Talbert Park,1948,1948
WIL06,North Carolin,Wilmington,Legion Stadium,1942,1942
WIL07,North Carolin,Wilson,Municipal Stadium,1939,1940
WSL01,North Carolin,Winston-Salem,Soutside Park,1939,1939
,,,,,
BIS01,North Dakota,Bismarck,Municipal Ballpark,1938,1939
FAR01,North Dakota,Fargo,Barnett Field,1938,1941
GRA04,North Dakota,Grafton,(unknown),1938,1938
WAH01,North Dakota,Wahpeton,(unknown),1941,1941
,,,,,
AKR01,Ohio,Akron,League Park,1930,1945
CAN03,Ohio,Canton,Lakeside Park,1938,1943
CAN01,Ohio,Canton,Mahaffey Park,1902,1903
CIN02,Ohio,Cincinnati,Avenue Grounds,1949,1949
CIN08,Ohio,Cincinnati,Cinergy Field,1970,2002
CIN07,Ohio,Cincinnati,Crosley Field,1912,1970
CIN09,Ohio,Cincinnati,Great American Ballpark,2003,2024
CIN05,Ohio,Cincinnati,League Park II,1901,1901
CIN06,Ohio,Cincinnati,Palace of the Fans,1902,1911
CLE07,Ohio,Cleveland,Cleveland Stadium,1931,1993
CLE11,Ohio,Cleveland,Kinsman Hardware Field,1931,1931
CLE05,Ohio,Cleveland,League Park III,1901,1909
CLE06,Ohio,Cleveland,League Park IV,1910,1949
CLE08,Ohio,Cleveland,Progressive Field,1994,2024
COL03,Ohio,Columbus,Neil Park I,1902,1903
COL04,Ohio,Columbus,Neil Park II,1905,1928
COL05,Ohio,Columbus,Red Bird Stadium,1937,1949
DAY01,Ohio,Dayton,Fairview Park,1902,1902
DAY03,Ohio,Dayton,Hudson Field,1935,1949
DEF01,Ohio,Defiance,Kingsbury Park,1942,1942
FIN01,Ohio,Findlay,Ohio State League Park,1942,1942
LIM01,Ohio,Lima,Halloran Park,1939,1948
MID02,Ohio,Middletown,(unknown),1937,1945
NWO01,Ohio,Newark,Arnold Park,1948,1949
NCO01,Ohio,North Canton,Memorial Stadium,1949,1949
NOR03,Ohio,Norwalk,Keller Field,1939,1944
PAI01,Ohio,Painesville,(unknown),1939,1939
POR02,Ohio,Portsmouth,Riverside Park,1940,1941
SPR04,Ohio,Springfield,Municipal Stadium,1937,1949
STM01,Ohio,St. Marys,(unknown),1945,1945
TOL04,Ohio,Toledo,Armory Park,1903,1903
TOL05,Ohio,Toledo,Swayne Field,1936,1948
WAR02,Ohio,Warren,Fairgrounds Park,1940,1940
YOU01,Ohio,Youngtown,Idora Park,1926,1948
ZAN01,Ohio,Zanesville,Mark Park,1938,1938
ZAN02,Ohio,Zanesville,Municipal Stadium,1941,1949
,,,,,
MUS01,Oklahoma,Muskogee,Athletic Park,1939,1949
OKC01,Oklahoma,Oklahoma City,Holland Field,1933,1942
OKC02,Oklahoma,Oklahoma City,Texas League Park,1941,1949
SHW01,Oklahoma,Shawnee,Athletic Park,1940,1940
TUL01,Oklahoma,Tulsa,Texas League Park,1939,1949
,,,,,
ALT01,Pennsylvania,Altoona,Columbia Park,1937,1945
ALT02,Pennsylvania,Altoona,Cricket Field,1932,1948
BAN01,Pennsylvania,Bangor,(unknown),1948,1948
BEA02,Pennsylvania,Beaver Falls,(unknown),1941,1941
BLO01,Pennsylvania,Bloomsburg,Bloomsburg Fair Grounds,1926,1926
BUT01,Pennsylvania,Butler,(unknown),1928,1942
CHA02,Pennsylvania,Chambersburg,Henninger Field,1937,1942
CHE02,Pennsylvania,Chester,Elks Park,1937,1938
CHE01,Pennsylvania,Chester,Lloyd Field,1938,1949
DAR01,Pennsylvania,Darby,Hilldale Park,1921,1931
ERI01,Pennsylvania,Erie,Ainsworth Field,1942,1947
GRE04,Pennsylvania,Greensburg,Offutt Field,1938,1939
HRB01,Pennsylvania,Harrisburg,Island Park,1903,1948
HOM01,Pennsylvania,Homestead,Municipal Field,1939,1939
HOP02,Pennsylvania,Hopewell,(unknown),1937,1937
JOH01,Pennsylvania,Johnstown,Point Grounds,1927,1940
KNP01,Pennsylvania,Kane,Glenwood Field,1941,1941
LAN01,Pennsylvania,Lancaster,Stumpf Field,1938,1946
MCK01,Pennsylvania,McKeesport,(unknown),1938,1941
MEA01,Pennsylvania,Meadville,(unknown),1942,1947
MID03,Pennsylvania,Middletown,Grandview Park Field,1937,1938
MSN01,Pennsylvania,Monessen,Tin Plate Field,1938,1940
MNH01,Pennsylvania,Munhall,West Field,1948,1948
NWC01,Pennsylvania,New Castle,P.J. Flaherty Memorial,1948,1949
NBE01,Pennsylvania,North Bethlehem,(unknown),1948,1948
OIL01,Pennsylvania,Oil City,Ramage-Hasson Field,1942,1943
PHI17,Pennsylvania,Philadelphia,44th and Parkside,1935,1947
PHI09,Pennsylvania,Philadelphia,Baker Bowl,1901,1938
PHI19,Pennsylvania,Philadelphia,Bigler Park,1930,1930
PHI13,Pennsylvania,Philadelphia,Citizens Bank Park,2004,2024
PHI10,Pennsylvania,Philadelphia,Columbia Park,1901,1908
PHI16,Pennsylvania,Philadelphia,Passon Park,1934,1938
PHI11,Pennsylvania,Philadelphia,Shibe Park,1909,1970
PHI12,Pennsylvania,Philadelphia,Veterans Stadium,1971,2003
PPB01,Pennsylvania,Philipsburgh,(unknown),1928,1938
PIT05,Pennsylvania,Pittsburgh,Exposition Park III,1901,1915
PIT06,Pennsylvania,Pittsburgh,Forbes Field,1909,1970
PIT09,Pennsylvania,Pittsburgh,Greenlee Field,1932,1938
PIT08,Pennsylvania,Pittsburgh,PNC Park,2001,2024
PIT07,Pennsylvania,Pittsburgh,Three Rivers Stadium,1970,2000
SCR01,Pennsylvania,Scranton,Dunmore Stadium,1942,1942
SHA01,Pennsylvania,Sharon,Sharon Park,1928,1928
SCP01,Pennsylvania,State College,Bellefonte Community,1938,1938
SUN01,Pennsylvania,Sunbury,Memorial Park,1947,1947
UNI01,Pennsylvania,Uniontown,Elks Park,1927,1947
VAN01,Pennsylvania,Vandergrift,(unknown),1948,1948
WAR03,Pennsylvania,Warren,Russell Field,1939,1940
WAP01,Pennsylvania,Washington,Wash-High Fied,1941,1944
YOR03,Pennsylvania,West York,Martin-Perry Field,1937,1945
WIL05,Pennsylvania,Williamsport,(unknown),1943,1943
WIL02,Pennsylvania,Williamsport,Bowman Field,2017,2024
YOR01,Pennsylvania,York,Eagles Park,1932,1935
YOR02,Pennsylvania,York,Memorial Stadium,1946,1948
,,,,,
SJU01,Puerto Rico,San Juan,Estadio Hiram Bithorn,2001,2018
,,,,,
WAR01,Rhode Island,Warwick,Rocky Point Park,1903,1903
,,,,,
CHT01,Tennessee,Chattanooga,Engel Stadium,1937,1949
JAC02,Tennessee,Jackson,Lakeview Park,1938,1949
KNO01,Tennessee,Knoxville,Caswell Park,1944,1948
MEM01,Tennessee,Memphis,Lewis Athletic Park,1925,1925
MEM02,Tennessee,Memphis,Martin Stadium,1937,1949
MEM03,Tennessee,Memphis,Russwood Park,1935,1946
NSH02,Tennessee,Nashville,Sulphur Dell,1932,1949
NSH01,Tennessee,Nashville,Tom Wilson Park,1949,1949
,,,,,
ARL01,Texas,Arlington,Arlington Stadium,1972,1993
ARL03,Texas,Arlington,Globe Life Field,2020,2024
ARL02,Texas,Arlington,Rangers Ballpark,1994,2019
AUS01,Texas,Austin,Disch Field,1947,1949
BEA01,Texas,Beaumont,Stuart Stadium,1944,1949
COR01,Texas,Corpus Christi,Firemens Ball Park,1946,1946
DAL02,Texas,Dallas,Burnett Field,1938,1949
DAL01,Texas,Dallas,Rebel Stadium,1939,1948
FTW01,Texas,Fort Worth,La Grave Field,1940,1948
GAL01,Texas,Galveston,Moody Stadium,1937,1940
HOU02,Texas,Houston,Astrodome,1965,1999
HOU04,Texas,Houston,Buffalo Stadium,1938,1949
HOU01,Texas,Houston,Colt Stadium,1962,1964
HOU03,Texas,Houston,Minute Maid Park,2000,2024
HOU06,Texas,Houston,West End Park,1937,1937
MRT01,Texas,Marshall,Matthewson Park,1938,1939
PTX01,Texas,Paris,Binnion Park,1941,1946
PTA01,Texas,Port Arthur,Legion Park,1940,1942
SAT01,Texas,San Antonio,Mission Stadium,1944,1949
TEX01,Texas,Texarkana,(unknown),1938,1939
WAC01,Texas,Waco,Katy Park,1938,1949
WFL01,Texas,Wichita Falls,Spudder Field,1941,1949
,,,,,
DAN02,Virginia,Danville,Peters Park,1945,1947
NPN01,Virginia,Newport News,Builders Stadium,1941,1947
NPN02,Virginia,Newport News,Pensinsula War Memorial,1949,1949
NOR05,Virginia,Norfolk,Bain Field,1939,1939
NOR01,Virginia,Norfolk,High Rock Park,1943,1947
NOR02,Virginia,Norfolk,Tar Park,1940,1949
PET01,Virginia,Petersburg,(unknown),1949,1949
POR01,Virginia,Portsmouth,City Stadium,1940,1949
RIC05,Virginia,Richmond,Mayo Island,1939,1939
RIC04,Virginia,Richmond,Mooers Field,1941,1947
RIC03,Virginia,Richmond,Tate Field,1927,1947
,,,,,
SEA02,Washington,Seattle,Kingdome,1977,1999
SEA03,Washington,Seattle,Safeco Field,1999,2024
SEA01,Washington,Seattle,Sick's Stadium,1969,1969
,,,,,
BEC01,West Virginia,Beckley,RMI Park,1937,1938
BLU01,West Virginia,Bluefield,Blakely Field,1938,1938
CHA01,West Virginia,Charleston,Kanawha Park,1937,1949
FMT01,West Virginia,Fairmont,(unknown),1928,1937
HUN02,West Virginia,Huntington,(unknown),1942,1942
WHE02,West Virginia,Wheeling,Holloway Memorial Park,1939,1939
,,,,,
APP01,Wisconsin,Appleton,Spencer Park,1943,1943
EAU01,Wisconsin,Eau Claire,Carson Park,1940,1949
GBW01,Wisconsin,Green Bay,Joannes Park,1945,1945
LCR01,Wisconsin,LaCrosse,Copeland Park,1949,1949
MIL03,Wisconsin,Milwaukee,Athletic Park,1937,1949
MIL05,Wisconsin,Milwaukee,County Stadium,1953,2000
MIL04,Wisconsin,Milwaukee,Lloyd Street Grounds,1901,1901
MIL06,Wisconsin,Milwaukee,Miller Park,2001,2024
OSH01,Wisconsin,Oshkosh,Municipal Athletic,1941,1941
RAC01,Wisconsin,Racine,Horlick Field,1944,1945
,,,,,
SYD01,Australia,Sydney,Sydney Cricket Ground,2014,2014
,,,,,
,Canada,,,,
BRA02,Manitoba,Brandon,(unknown),1938,1938
PLP01,Manitoba,Portage La Prair,ie  Island Park,1938,1938
WIN01,Manitoba,Winnipeg,Osborne Stadium,1935,1943
,,,,,
HAM02,Ontario,Hamilton,(unknown),1943,1944
STC02,Ontario,St. Catherines,Sports Park,1948,1948
TOR01,Ontario,Toronto,Exhibition Stadium,1977,1989
TOR02,Ontario,Toronto,Rogers Centre,1989,2024
,,,,,
MON01,Quebec,Montreal,Parc Jarry,1969,1976
MON02,Quebec,Montreal,Stade Olympique,1977,2004
,,,,,
REG01,Saskatchewan,Regina,Park de Young,1938,1939
,,,,,
LON01,England,London,London Stadium,2019,2024
,,,,,
TOK01,Japan,Tokyo,Tokyo Dome,2000,2019
,,,,,
MEX01,Mexico,Mexico City,(unknown),1935,1935
MEX02,Mexico,Mexico City,Alfredo Harp Helu,2023,2024
MNT01,Mexico,Monterrey,Estadio Monterrey,1996,2019
,,,,,
SEO01,South Korea,Seoul,Gocheok Sky Dome,2024,2024