ID,Team
ALN,American League All Stars
ALS,American League All Stars
ALM,American League Stars in Mexico
ANA,Anaheim Angels
ARI,Arizona Diamondbacks
ATN,Atlanta Black Crackers
ATL,Atlanta Braves
ACY,Atlantic City Bacharach Giants
AGS,Augie Galan All Stars
BRS,Babe Ruth All Stars
ASB,Baltimore All Stars
BLS,Baltimore Black Sox
BCG,Baltimore Colored Giants
BLG,Baltimore Elite Giants
BAL,Baltimore Orioles
BLA,Baltimore Orioles
BLF,Baltimore Terrapins
BIR,Birmingham Black Barons
BIS,Bismarck Club
ASF,Bob Feller All Stars
BSN,Boston Braves
BOS,Boston Red Sox
BXG,Bronx Giants
BKB,Brooklyn Bushwicks
BRO,Brooklyn Dodgers
BRG,Brooklyn Royal Giants
BRF,Brooklyn Tip-Tops
BFA,Buffalo Black Aces
BUF,Buffalo Blues
CAL,California Angels
CAG,Chicago American Giants
CHN,Chicago Cubs
CG1,Chicago Giants
CHM,Chicago Mills
CHF,Chicago Whales
CHA,Chicago White Sox
CDA,Chuck Dressen All Stars
CI2,Cincinnati Clowns
CCR,Cincinnati Crescents
CNN,Cincinnati Cubans
CIN,Cincinnati Reds
CI1,Cincinnati Tigers
CCB,Cincinnati-Cleveland Buckeyes
CIA,Cincinnati-Indianapolis Clowns
CV9,Cleveland Bears
CVB,Cleveland Buckeyes
CV6,Cleveland Cubs
CLG,Cleveland Giants
CLE,Cleveland Guardians
COL,Colorado Rockies
CB1,Columbus Buckeyes
CUE,Cuban Stars (East)
CUS,Cuban Stars (Ind)
CUW,Cuban Stars (West)
DAY,Dayton Marcos
STA,Decatur Staleys
DT1,Detroit Stars
DT2,Detroit Stars
DET,Detroit Tigers
ASD,Dizzy Dean All Stars
ASE,East All Stars
ECG,Eastern Colored Giants
FLO,Florida Marlins
GLK,Great Lakes Naval Training
HAE,Harrisburg Giants
HSL,Harrisburg - St. Louis Stars
HIL,Hilldale Club
HOM,Homestead Grays
HWS,Honus Wagner All-Stars
HOU,Houston Astros
HOE,Houston Eagles
IN4,Indianapolis ABC's
IN7,Indianapolis ABC's
IN6,Indianapolis Athletics
IN9,Indianapolis Clowns
IN8,Indianapolis Crawfords
IND,Indianapolis Hoosiers
JAX,Jacksonville Red Caps
KC1,Kansas City Athletics
KCM,Kansas City Monarchs
KCF,Kansas City Packers
KCA,Kansas City Royals
KCR,Kansas City Royals
KLK,Kelley Kars
ASG,Lefty Grove All Stars
LAA,Los Angeles Angels
LAN,Los Angeles Dodgers
ASL,Lou Gehrig All Stars
LS4,Louisville White Caps
LCB,Louisville-Cleveland Buckeyes
MLS,Major League All Stars
ASC,Max Carey All Stars
MEM,Memphis Red Sox
MIA,Miami Marlins
ML4,Milwaukee Bears
MLN,Milwaukee Braves
MIL,Milwaukee Brewers
MLA,Milwaukee Brewers
MIN,Minnesota Twins
MON,Montreal Expos
NAL,NAL All Stars
NSH,Nashville Elite Giants
NLN,National League All Stars
NLS,National League All Stars
NNS,Negro League All Stars
NBG,New York Bacharach Giants
NY5,New York Black Yankees
NY6,New York Cubans
NY1,New York Giants
NYL,New York Lincoln Giants
NYN,New York Mets
NYA,New York Yankees
NW2,Newark Eagles
NEW,Newark Peppers
NNL,NNL All Stars
NAS,North All Stars
OAK,Oakland Athletics
PRK,Parker All Stars
PHA,Philadelphia Athletics
PHG,Philadelphia Giants
PHI,Philadelphia Phillies
PRG,Philadelphia Royal Giants
PH5,Philadelphia Stars
PHB,Phil-Birm Baron Stars
PIR,Pirrone All Stars
PTC,Pittsburgh Crawfords
PIT,Pittsburgh Pirates
PTF,Pittsburgh Rebels
SDN,San Diego Padres
SFN,San Francisco Giants
SDO,Santo Domingo All Stars
ASP,Satchel Paige All-Stars
SEA,Seattle Mariners
SE1,Seattle Pilots
SHV,Shevlin All Stars
SHR,Shroyer All Stars
SAS,South All Stars
SPZ,Sprinz All Stars
SLN,St. Louis Cardinals
SLG,St. Louis Giants
SSA,St. Louis Stars
SSN,St. Louis Stars
SNO,St. Louis - New Orleans Stars
SLA,St.Louis Browns
SLF,St.Louis Terriers
ASO,Steve O'Neill All Stars
TBA,Tampa Bay Devil Rays
AST,Taylor All Stars
TWA,Ted Williams All Stars
TEX,Texas Rangers
TLC,Toledo Crawfords
TOR,Toronto Blue Jays
VMA,Vander Meer All Stars
VDA,Vince DiMaggio All Stars
WBS,Washington Black Senators
WEG,Washington Elite Giants
WAS,Washington Nationals
WSW,Washington Pilots
WS1,Washington Senators
WS2,Washington Senators
ASW,West All Stars
WPS,West. Pipe & Steel Boilermakers
WHK,White Kings
CUX,X-Cuban Giants